ID,Label,Done,NYR,Source,Target
0,Rangers,x,x,1,0
1,Artemi Panarin,x,x,2,0
2,Mika Zibanejad,x,x,3,2
3,Trade with Ottawa,x,,3,4
4,2018 33rd Overall (Jonatan Berggren),x,,5,3
5,Derick Brassard,x,,6,3
6,2018 194th Overall (Luke Loheit),x,,4,7
7,Trade with Detroit,x,,8,7
8,2017 83rd Overall (Zach Gallant),x,,7,9
9,Brendan Smith,x,,10,5
10,Trade with Columbus,x,,10,11
11,Derek Dorsett,x,,10,12
12,John Moore,x,,10,13
13,2014 167th Overall (Chase Lang),x,,14,10
14,Marian Gaborik,x,,15,10
15,Blake Parlett,x,,16,10
16,Steven Delisle,x,,11,17
17,Trade with Vancouver,x,,17,18
18,2014 85th Overall,x,,12,19
19,Trade with Arizona,x,,20,19
20,Anthony Duclair,x,NYI,21,19
21,2016 20th Overall (Dennis Cholowski),x,,22,19
22,2015 60th Overall (Oliver Kylington),x,,19,23
23,Keith Yandle,x,,19,24
24,Chris Summers,x,,19,25
25,2016 98th Overall,x,,13,26
26,Trade with Minnesota,x,,27,26
27,Benn Ferriero,x,,26,28
28,Justin Falk,x,,29,16
29,Trade with Columbus,x,,29,30
30,Rick Nash,x,,29,31
31,2013 75th Overall,x,,32,29
32,Artem Anisimov,x,,33,29
33,Brandon Dubinsky,x,,34,29
34,Tim Erixon,x,,35,29
35,2013 19th Overall (Kerby Rychel),x,,18,36
36,Keegan Iverson,x,,37,22
37,Trade with Tampa Bay,x,,37,38
38,Martin St. Louis,x,,39,37
39,Ryan Callahan,x,,40,37
40,2014 28th Overall (Josh Ho-Sang),x,,41,37
41,2015 28th Overall (Anthony Beauvilier),x,,42,37
42,2015 209th Overall (Ziyat Paigin) (a),x,,23,43
43,Trade with Florida,x,,43,44
44,2017 102nd Overall (Scott Reedy),x,,43,45
45,2016 174th Overall,x,,25,46
46,Tarmo Reunanen,x,,46,47
47,Trade with Carolina,x,,47,48
48,Maxim Letunov,x,,49,27
49,Trade with Piitsburgh,x,,50,49
50,Chad Kolarik,x,,30,51
51,Trade with Boston,x,,51,52
52,Matt Beleskey,,,51,53
53,Ryan Spooner,,,51,54
54,Ryan Lindgren,,,51,55
55,2018 26th Overall (Jacob Bernard-Docker),,,51,56
56,2019 216th Overall (Massimo Rizzo),,,31,57
57,Pavel Buchnevich,x,STL,57,58
58,Trade with St. Louis,x,,58,59
59,Sammy Blais,,,58,60
60,2022 55th Overall (Elias Salmonsson),,,61,32
61,2006 54th Overall,x,,62,33
62,2004 60th Overall,x,,63,62
63,Trade with Phoenix,x,,63,64
64,2004 80th Overall (Billy Ryan),,,65,63
65,2004 50th Overall (Envir Lisin),,,66,34
66,Trade with Calgary,x,,66,67
67,2011 134th Overall (Shane McColgan),,,68,66
68,Roman Horak,,,69,66
69,2011 45th Overall (Markus Granlund),,,70,66
70,2011 57th Overall (Tyler Wotherspoon),,,71,72
71,Trade with San Jose,x,,72,39
72,2004 127th Overall,x,,73,71
73,Mark Messier,,,74,75
74,Trade with Tampa Bay,x,,76,74
75,2015 209th Overall (Ziyat Paigin) (b),x,,75,77
76,Daniel Walcott,,,78,77
77,Trade with Edmonton,x,,77,79
78,Cam Talbot,,,77,80
79,2015 79th Overall (Sergey Zborvskiy),,,77,81
80,2015 57th Overall (Jonas Siegenthaler),,,44,82
81,2015 184th Overall (Adam Huska),,,82,83
82,Trade with San Jose,x,,82,84
83,2017 174th Overall (Morgan Barron),,,45,85
84,2017 123rd Overall (Brandon Crawley),,,86,50
85,Tyler Wall,x,,87,86
86,Trade with Columbus,x,,,
87,Dane Byers,,,,
